"vintage","target_year","h","forecast","rlz","e"
1986 Q2,1986,7.5,2.66798007686224,2.63493183039531,-0.0330482464669335
1986 Q2,1987,19.5,3.26939843068875,2.99009082768606,-0.279307603002693
1986 Q3,1986,4.5,2.5912588032649,2.63493183039531,0.0436730271304078
1986 Q3,1987,16.5,2.53496503496503,2.99009082768606,0.455125792721033
1986 Q4,1986,1.5,2.77061415082305,2.63493183039531,-0.135682320427737
1986 Q4,1987,13.5,2.96684118673648,2.99009082768606,0.0232496409495804
1987 Q1,1987,10.5,2.73864895182115,2.99009082768606,0.251441875864909
1987 Q1,1988,22.5,3.69897959183674,3.4510242558907,-0.247955335946041
1987 Q2,1987,7.5,3.10296228790716,2.99009082768606,-0.112871460221096
1987 Q2,1988,19.5,3.98305084745763,3.4510242558907,-0.532026591566928
1987 Q3,1987,4.5,3.28950324807346,2.99009082768606,-0.299412420387404
1987 Q3,1988,16.5,4.07470288624788,3.4510242558907,-0.623678630357174
1987 Q4,1987,1.5,2.93877488390344,2.99009082768606,0.0513159437826172
1987 Q4,1988,13.5,3.40715502555366,3.4510242558907,0.0438692303370383
1988 Q1,1988,10.5,3.28542155651044,3.4510242558907,0.165602699380258
1988 Q1,1989,22.5,3.95713107996702,4.14814112330456,0.191010043337543
1988 Q2,1988,7.5,3.05765375480409,3.4510242558907,0.393370501086609
1988 Q2,1989,19.5,4.08921933085502,4.14814112330456,0.058921792449544
1988 Q3,1988,4.5,3.09810660284727,3.4510242558907,0.352917653043429
1988 Q3,1989,16.5,4.20445177246497,4.14814112330456,-0.0563106491604053
1988 Q4,1988,1.5,3.35308955404969,3.4510242558907,0.0979347018410062
1988 Q4,1989,13.5,4.35855263157896,4.14814112330456,-0.210411508274392
1989 Q1,1989,10.5,4.53073343265945,4.14814112330456,-0.382592309354881
1989 Q1,1990,22.5,4.32389937106917,4.08538306503492,-0.238516306034248
1989 Q2,1989,7.5,4.67055374543324,4.14814112330456,-0.52241262212868
1989 Q2,1990,19.5,4.39560439560439,4.08538306503492,-0.310221330569467
1989 Q3,1989,4.5,4.40139284322679,4.14814112330456,-0.253251719922227
1989 Q3,1990,16.5,4.2654028436019,4.08538306503492,-0.180019778566977
1989 Q4,1989,1.5,4.15399617772152,4.14814112330456,-0.005855054416954
1989 Q4,1990,13.5,3.87965162311955,4.08538306503492,0.205731441915373
1990 Q2,1990,7.5,4.20221564315966,4.08538306503492,-0.116832578124741
1990 Q2,1991,19.5,3.76139817629181,3.64124508947742,-0.120153086814383
1990 Q3,1990,4.5,4.19714162537248,4.08538306503492,-0.111758560337556
1990 Q3,1991,16.5,4.33130699088147,3.64124508947742,-0.690061901404049
1990 Q4,1990,1.5,4.19714162537248,4.08538306503492,-0.111758560337556
1990 Q4,1991,13.5,4.25531914893617,3.64124508947742,-0.614074059458742
1991 Q1,1991,10.5,3.83801270018771,3.64124508947742,-0.196767610710291
1991 Q1,1992,22.5,3.15018315018316,2.64573167560247,-0.504451474580693
1991 Q2,1991,7.5,3.94887829917881,3.64124508947742,-0.307633209701386
1991 Q2,1992,19.5,3.40285400658617,2.64573167560247,-0.757122330983708
1991 Q3,1991,4.5,3.9108435833723,3.64124508947742,-0.269598493894872
1991 Q3,1992,16.5,3.40409956076135,2.64573167560247,-0.758367885158886
1991 Q4,1991,1.5,3.75870472014628,3.64124508947742,-0.11745963066886
1991 Q4,1992,13.5,3.00586510263929,2.64573167560247,-0.360133427036827
1992 Q1,1992,10.5,2.66650823597396,2.64573167560247,-0.0207765603714996
1992 Q1,1993,22.5,3.24729392173189,2.54226808167579,-0.705025840056104
1992 Q2,1992,7.5,2.66157176917901,2.64573167560247,-0.0158400935765401
1992 Q2,1993,19.5,3.08076602830974,2.54226808167579,-0.538497946633953
1992 Q3,1992,4.5,2.66524146818089,2.64573167560247,-0.0195097925784258
1992 Q3,1993,16.5,2.76840363937138,2.54226808167579,-0.226135557695585
1992 Q4,1992,1.5,2.66524146818089,2.64573167560247,-0.0195097925784258
1992 Q4,1993,13.5,2.64681555004135,2.54226808167579,-0.104547468365556
1993 Q1,1993,10.5,2.52851962347457,2.54226808167579,0.0137484582012246
1993 Q1,1994,22.5,2.66343825665859,2.0615289595542,-0.601909297104396
1993 Q2,1993,7.5,2.74905425576118,2.54226808167579,-0.206786174085384
1993 Q2,1994,19.5,2.81803542673108,2.0615289595542,-0.756506467176882
1993 Q3,1993,4.5,2.71952010731567,2.54226808167579,-0.177252025639883
1993 Q3,1994,16.5,2.92813634837067,2.0615289595542,-0.86660738881647
1993 Q4,1993,1.5,2.64700022812738,2.54226808167579,-0.104732146451584
1993 Q4,1994,13.5,2.56596942880129,2.0615289595542,-0.504440469247098
1994 Q1,1994,10.5,2.35245563351218,2.0615289595542,-0.290926673957979
1994 Q1,1995,22.5,2.66955153422502,2.54944007624493,-0.120111457980086
1994 Q2,1994,7.5,2.27651825766716,2.0615289595542,-0.214989298112968
1994 Q2,1995,19.5,2.79527559055119,2.54944007624493,-0.245835514306256
1994 Q3,1994,4.5,2.26899725142963,2.0615289595542,-0.207468291875435
1994 Q3,1995,16.5,3.05524774418235,2.54944007624493,-0.505807667937419
1994 Q4,1994,1.5,2.15567083370603,2.0615289595542,-0.0941418741518305
1994 Q4,1995,13.5,2.89223454833597,2.54944007624493,-0.342794472091034
1995 Q1,1995,10.5,2.46116963548963,2.54944007624493,0.088270440755307
1995 Q1,1996,22.5,3.06927244582045,2.14748878611105,-0.9217836597094
1995 Q2,1995,7.5,2.31298732508644,2.54944007624493,0.236452751158498
1995 Q2,1996,19.5,2.94573643410854,2.14748878611105,-0.798247647997487
1995 Q3,1995,4.5,1.91325286297913,2.54944007624493,0.636187213265805
1995 Q3,1996,16.5,2.49346283152781,2.14748878611105,-0.345974045416765
1995 Q4,1995,1.5,1.67848817888434,2.54944007624493,0.870951897360593
1995 Q4,1996,13.5,2.03978159126366,2.14748878611105,0.107707194847391
1996 Q2,1996,7.5,2.39962825278811,2.14748878611105,-0.252139466677063
1996 Q2,1997,19.5,2.55758653863607,2.01633023361306,-0.541256305023011
1996 Q3,1996,4.5,2.25424122705089,2.14748878611105,-0.106752440939843
1996 Q3,1997,16.5,2.45454545454546,2.01633023361306,-0.438215220932396
1996 Q4,1996,1.5,2.1612828259354,2.14748878611105,-0.0137940398243477
1996 Q4,1997,13.5,2.36578707916287,2.01633023361306,-0.349456845549809
1997 Q1,1997,10.5,2.29806598407282,2.01633023361306,-0.281735750459754
1997 Q1,1998,22.5,2.52491103202846,1.01953930267993,-1.50537172934853
1997 Q2,1997,7.5,2.29573843598554,2.01633023361306,-0.279408202372475
1997 Q2,1998,19.5,2.49110320284697,1.01953930267993,-1.47156390016704
1997 Q3,1997,4.5,2.09117713767295,2.01633023361306,-0.0748469040598869
1997 Q3,1998,16.5,2.46156580467431,1.01953930267993,-1.44202650199437
1997 Q4,1997,1.5,2.06396008165117,2.01633023361306,-0.0476298480381119
1997 Q4,1998,13.5,2.06666666666667,1.01953930267993,-1.04712736398673
1998 Q1,1998,10.5,1.86607976523943,1.01953930267993,-0.846540462559496
1998 Q1,1999,22.5,2.23520014665637,1.39653291308038,-0.838667233575985
1998 Q2,1998,7.5,1.46957469041108,1.01953930267993,-0.450035387731149
1998 Q2,1999,19.5,2.08238387379492,1.39653291308038,-0.685850960714536
1998 Q3,1998,4.5,1.10244689432644,1.01953930267993,-0.082907591646501
1998 Q3,1999,16.5,1.88829787234043,1.39653291308038,-0.491764959260049
1998 Q4,1998,1.5,1.01281706551941,1.01953930267993,0.00672223716052089
1998 Q4,1999,13.5,1.6282165039929,1.39653291308038,-0.231683590912511
1999 Q1,1999,10.5,1.22438115517701,1.39653291308038,0.172151757903373
1999 Q1,2000,22.5,1.56893680427732,2.11171824667732,0.542781442399999
1999 Q2,1999,7.5,1.2026706297274,1.39653291308038,0.193862283352987
1999 Q2,2000,19.5,1.72010204886773,2.11171824667732,0.391616197809583
1999 Q3,1999,4.5,1.36858682873811,1.39653291308038,0.0279460843422761
1999 Q3,2000,16.5,1.83369803063457,2.11171824667732,0.278020216042744
1999 Q4,1999,1.5,1.39749665816017,1.39653291308038,-0.000963745079780365
1999 Q4,2000,13.5,1.66490891658678,2.11171824667732,0.446809330090541
2000 Q1,2000,10.5,1.80362834615477,2.11171824667732,0.308089900522546
2000 Q1,2001,22.5,1.9783613781674,2.18381408384912,0.205452705681722
2000 Q2,2000,7.5,2.0979890485641,2.11171824667732,0.0137291981132117
2000 Q2,2001,19.5,2.17900436550316,2.18381408384912,0.00480971834595945
2000 Q3,2000,4.5,2.22147987305828,2.11171824667732,-0.109761626380963
2000 Q3,2001,16.5,2.37628384687208,2.18381408384912,-0.19246976302296
2000 Q4,2000,1.5,2.1260349805531,2.11171824667732,-0.0143167338757788
2000 Q4,2001,13.5,2.2570093457944,2.18381408384912,-0.0731952619452749
2001 Q1,2001,10.5,2.1403869520516,2.18381408384912,0.0434271317975239
2001 Q1,2002,22.5,2.17789165446559,1.13096326082983,-1.04692839363576
2001 Q2,2001,7.5,2.29471421227275,2.18381408384912,-0.110900128423623
2001 Q2,2002,19.5,2.12856359649122,1.13096326082983,-0.997600335661397
2001 Q3,2001,4.5,2.30059558565924,2.18381408384912,-0.116781501810113
2001 Q3,2002,16.5,2.00913242009133,1.13096326082983,-0.878169159261499
2001 Q4,2001,1.5,2.22585542450077,2.18381408384912,-0.0420413406516427
2001 Q4,2002,13.5,1.74099798939865,1.13096326082983,-0.610034728568821
2002 Q1,2002,10.5,1.40407827359181,1.13096326082983,-0.273115012761979
2002 Q1,2003,22.5,1.94282004229207,1.67077124359061,-0.272048798701459
2002 Q2,2002,7.5,1.22057142857142,1.13096326082983,-0.0896081677415954
2002 Q2,2003,19.5,1.9781410893325,1.67077124359061,-0.307369845741893
2002 Q3,2002,4.5,1.19996344361177,1.13096326082983,-0.069000182781946
