"target_year","h","hist_fcst","hist_lower","hist_upper"
1986,19.5,2.52427891059529,1.94823902861412,3.89798654987393
1987,71.5,2.86386158429139,1.92173517730704,5.10352747516501
1986,6.5,2.87246686165846,2.10111373545362,4.61834010070014
1987,58.5,3.04454260610973,2.05683058461889,5.16126727426781
1987,45.5,2.78927090203613,1.88224153415761,5.11704803294563
1988,97.5,3.25575899387985,1.75962405156283,6.37264011823376
1987,32.5,2.97604376065021,2.08609109700631,5.05163057507695
1988,84.5,4.15917543429828,2.34508243083182,5.99320980324342
1987,19.5,2.96985730196716,2.11134221328892,5.08821886666385
1988,71.5,4.54915736263444,2.66635907156238,6.23022479303115
1987,6.5,2.60993534176743,2.01901756437206,3.98953282328188
1988,58.5,3.4628991603945,2.06991565646321,5.12283870270831
1988,45.5,3.25703739173677,2.11424723153107,5.31849428485258
1989,97.5,3.95845303601911,2.16509592807735,6.18381540059075
1988,32.5,2.78825581541809,2.01642233438925,4.81789911227462
1989,84.5,3.85805343972126,2.05811061138837,6.22450768882784
1988,19.5,3.17651451945967,2.02193908126088,5.07349544482594
1989,71.5,4.50250982779993,2.96480967816461,6.5349006604518
1988,6.5,2.94344174012998,2.11216050052801,4.66245346257996
1989,58.5,4.63494323723734,3.10611850884039,6.13090357602939
1989,45.5,4.55618146701729,2.6634694136609,7.24370318419698
1990,97.5,4.52640036189205,2.76260914046724,6.96757991094819
1989,32.5,4.90408615503773,3.63774502576986,6.07884201931965
1990,84.5,4.86872870410702,3.52948043196287,6.4756854562302
1989,19.5,4.79475225587944,2.94955683279874,7.1700031086666
1990,71.5,4.61139979476441,3.1438602709237,6.19191616468016
1989,6.5,4.54301338520123,2.7346619886397,7.06145372782149
1990,58.5,3.94299592934292,2.4125879024234,5.73555713007279
1990,45.5,4.18449936243348,2.63998661526309,5.80917143040623
1991,97.5,4.34468746847576,2.60707828802344,5.96690728783284
1990,32.5,5.01881140703303,3.913960460705,5.97691007692253
1991,84.5,4.53623914688977,2.70097338749892,6.66148997101913
1990,19.5,4.91173612943712,3.85526511764388,6.09187475741457
1991,71.5,4.85124972291032,3.33589662300994,6.28193335303791
1990,6.5,4.78719913644601,3.5165208628284,5.96919846702441
1991,58.5,4.39216385983183,2.85170787234008,5.83315389312506
1991,45.5,3.91978760885036,2.31857400275081,5.70935326532559
1992,97.5,3.87340194517437,2.19225418313634,5.58493634160569
1991,32.5,3.90767106710198,2.42273241865857,5.5136107052054
1992,84.5,3.72317288377204,2.27019899800499,5.82122126558251
1991,19.5,3.70938218849711,2.3408578561583,5.09315710157887
1992,71.5,3.56176452223499,2.11520574041471,5.36288204282393
1991,6.5,3.49186582289042,2.44336560451718,4.84030313006798
1992,58.5,3.17409386990191,1.98810239922457,5.03472903962407
1992,45.5,2.88192614474273,1.80919845535988,4.0325756410669
1993,97.5,3.2374743217572,2.10086716546407,4.46933930979476
1992,32.5,2.84440018972874,1.94155894920282,3.84254776894532
1993,84.5,3.30588509487581,2.0971029605096,4.57070859357351
1992,19.5,2.65597151389023,1.91785048484257,3.45119835386614
1993,71.5,3.04854864372308,1.88581614512569,4.14771377677596
1992,6.5,2.55768189554201,1.66227260717501,3.44470489356456
1993,58.5,2.83622168054877,1.78305103490318,3.95502375486909
1993,45.5,2.87190440167987,1.76770317361808,4.0700863750932
1994,97.5,3.16768720384997,1.9057829079384,4.52163434139682
1993,32.5,2.96858883132757,1.9755721014704,4.02734159500421
1994,84.5,3.2905138416829,2.19509107127394,4.46429871925057
1993,19.5,2.70647803262077,1.9205593368028,3.51901282780854
1994,71.5,2.94676989065835,1.92571142451324,3.89021145144746
1993,6.5,2.59680750647805,2.03184288784019,3.19722764782786
1994,58.5,2.86036411920666,1.82407622792794,3.85634814889335
1994,45.5,2.53974512337071,1.41123463404093,3.83823062085684
1995,97.5,2.94146070443754,1.9576717545394,4.02744165858359
1994,32.5,2.59456244289681,1.70879927922458,3.4808789862915
1995,84.5,2.95842371932416,1.90423527325979,4.14510703655532
1994,19.5,2.51783368947706,1.86983150026666,3.19731859783816
1995,71.5,3.06885978965549,2.14393438470447,4.05736727643425
1994,6.5,2.44191971531225,1.80945017668998,3.14246532262725
1995,58.5,2.84793339689951,1.22648338362561,4.82563237645228
1995,45.5,2.64141923748193,1.77026005562913,3.62315686549311
1996,97.5,2.98830042080132,1.79777853056532,4.3247088820445
1995,32.5,2.65510942514678,1.73467842829961,3.58320423513577
1996,84.5,3.0687668558277,1.88050158638139,4.41626225942085
1995,19.5,2.15026351629071,1.27659905444745,3.20927220223535
1996,71.5,2.68864350817607,1.72781474052141,3.779548951639
