"id","target_year","h","ok1","ok2","hist_fcst","hist_lower","hist_upper"
69,1981,19.5,TRUE,TRUE,8.94998753807822,7.4841036578776,10.4158811478566
69,1982,71.5,TRUE,TRUE,8.94999948246531,7.1866588354052,10.7133408906125
70,1981,19.5,TRUE,TRUE,9.17289139110164,8.1828646732733,10.1304536054432
70,1982,71.5,TRUE,TRUE,8.55027916209914,6.94053445873895,10.0433343811719
72,1981,19.5,TRUE,TRUE,8.95,8.39721863068633,9.50278136931367
72,1982,71.5,TRUE,TRUE,8.66199280119505,7.95000641815378,9.37397918423632
74,1981,19.5,TRUE,TRUE,8.94997910549867,8.16181353198141,9.73812290451964
74,1982,71.5,TRUE,TRUE,8.73890041997231,7.57426876225279,9.95001444438938
75,1981,19.5,TRUE,TRUE,8.73890041997231,7.57426876225279,9.95001444438938
75,1982,71.5,TRUE,TRUE,7.66391229694592,5.7201532432948,9.72186460597819
77,1981,19.5,TRUE,TRUE,8.9499529780046,7.94995312699702,9.9499316034158
77,1982,71.5,TRUE,TRUE,7.95003354407381,6.49871845273431,9.94986328453954
79,1981,19.5,TRUE,TRUE,8.9499529780046,7.94995312699702,9.9499316034158
79,1982,71.5,TRUE,TRUE,7.16370785778385,5.6905632735526,8.57321868351327
81,1981,19.5,TRUE,TRUE,9.10620957739738,7.84378564270928,10.259924191811
81,1982,71.5,TRUE,TRUE,7.93330206897564,6.05274238169279,10.2778159731016
82,1981,19.5,TRUE,TRUE,9.13781069606192,8.48121107300739,9.79441031911645
82,1982,71.5,TRUE,TRUE,8.76218962326487,8.10559017672824,9.4187890698015
84,1981,19.5,TRUE,TRUE,8.81043105948342,8.18049858011734,9.44036353884951
84,1982,71.5,TRUE,TRUE,9.03314088857522,7.49714371207627,10.2850770431841
85,1981,19.5,TRUE,TRUE,8.95,8.39721863068633,9.50278136931367
85,1982,71.5,TRUE,TRUE,8.48752875042786,7.6791018905075,9.29595561034822
86,1981,19.5,TRUE,TRUE,9.18118019149859,8.20993142101789,10.1200712311495
86,1982,71.5,TRUE,TRUE,7.6099592796746,6.3940518068585,9.44833284619018
87,1981,19.5,TRUE,TRUE,8.73890041997231,7.57426876225279,9.95001444438938
87,1982,71.5,TRUE,TRUE,8.94998753807822,7.4841036578776,10.4158811478566
4,1981,6.5,TRUE,TRUE,8.82687262642856,8.06023322866194,9.60459063814397
4,1982,58.5,TRUE,TRUE,6.94791395850046,5.95005115902491,7.94999730715813
5,1981,6.5,TRUE,TRUE,8.95,8.39721863068633,9.50278136931367
5,1982,58.5,TRUE,TRUE,8.14098044826912,7.14098814334813,9.14097275319012
7,1981,6.5,TRUE,TRUE,8.95,8.39721863068633,9.50278136931367
7,1982,58.5,TRUE,TRUE,8.52471545700137,7.47863464691099,9.64951731451723
9,1981,6.5,TRUE,TRUE,8.14098044826912,7.14098814334813,9.14097275319012
9,1982,58.5,TRUE,TRUE,5.95000654746336,4.87207925798594,7.02793383694078
12,1981,6.5,TRUE,TRUE,8.94997910549867,8.16181353198141,9.73812290451964
12,1982,58.5,TRUE,TRUE,6.98765864621839,4.86871585853365,8.81559518453374
